thumb,index,middle,ring,pinky,total_up,label
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,1,0,0,1,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,1,0,0,1,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,1,0,0,1,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
0,0,0,0,0,0,C
